ID,estacion,Distance
881,MCM,0.006684373
882,GAM,0.02460544
883,HGM,0.012967286
884,BJU,0.002272597
885,MGH,0.02988647
886,SHA,0.01983807
887,SHA,0.014873452
888,UAX,0.026070871
889,UAX,0.032399789
890,MCM,0.005216047
891,MCM,0.02233714
892,MCM,0.010390668
893,DIC,0.004221683
894,DIC,0.008011437
895,DIC,0.0003317
896,TEC,0.003793051
897,UAX,0.032311074
898,MCM,0.007941974
899,MCM,0.024128537
900,HGM,0.025242532
901,HGM,0.005124809
902,UAX,0.03798885
903,MCM,0.019486904
904,BJU,0.024195385
905,HGM,0.020959802
906,MCM,0.009569599
907,HGM,0.021476029
908,MCM,0.008770401
909,MCM,0.02341336
910,HGM,0.021821792
911,CCA,0.021398527
912,CCA,0.010152395
913,HGM,0.020490458
914,HGM,0.023768513
915,HGM,0.023453975
916,MCM,0.003056344
917,BJU,0.002274521
918,HGM,0.015766641
919,MCM,0.003029807
920,HGM,0.021504555
921,MCM,0.004439253
922,MCM,0.003755962
923,HGM,0.025244149
924,CAM,0.027384246
925,MCM,0.013497033
926,MCM,0.018943967
927,CCA,0.018870397
928,MCM,0.003218628
929,MCM,0.009024872
930,MER,0.003587713
931,MCM,0.00871179
932,MCM,0.003238205
933,LAA,0.032524345
934,NEZ,0.036694322
935,CCA,0.026414206
936,MCM,0.013501948
937,IZT,0.025240921
938,MCM,0.009165627
939,UAX,0.027861883
940,UAX,0.081795266
941,HGM,0.021526931
942,MCM,0.003295839
943,MCM,0.016546696
944,MCM,0.010707117
945,HGM,0.023327336
946,MGH,0.017790566
947,MCM,0.009571788
948,MCM,0.002135068
949,COY,0.021631578
950,MER,0.007543583
951,CAM,0.02504679
952,MCM,0.02361591
953,CAM,0.018305354
954,CAM,0.026886129
955,BJU,0.027690782
956,MCM,0.00305695
957,HGM,0.015937827
958,MCM,0.013331502
959,MCM,0.00326535
960,MCM,0.003263019
961,HGM,0.021522488
962,HGM,0.015783379
963,UAX,0.029708155
964,MGH,0.00201106
965,IZT,0.030947835
966,HGM,0.01711863
967,NEZ,0.020104294
968,BJU,0.027470638
969,BJU,0.010302228
970,CAM,0.017353445
971,DIC,0.011564383
972,HGM,0.02262524
973,TEC,0.010054262
974,HGM,0.021487845
975,BJU,0.02218842
976,MCM,0.005843252
977,UIZ,0.01841512
978,MCM,0.013559675
979,HGM,0.020851499
980,MCM,0.019301986
981,MCM,0.02216379
982,MCM,0.003262807
983,MCM,0.018305344
984,MCM,0.019304154
985,MCM,0.015060525
986,MER,0.023879525
987,UIZ,0.013231211
988,HGM,0.021330862
989,AJM,0.023097459
990,MCM,0.007937039
991,TEC,0.021679137
992,TEC,0.010529124
993,MCM,0.018941384
994,MCM,0.018964683
995,MCM,0.013542989
996,HGM,0.025580342
997,MER,0.006709859
998,MCM,0.011782932
999,XAL,0.023339484
1000,LAA,0.028214485
1001,CAM,0.023931772
1002,MCM,0.008760942
1003,HGM,0.021816574
1004,COR,0.044735287
1005,MCM,0.014732603
1006,MGH,0.022968618
1007,MCM,0.018950156
1008,MCM,0.013557248
1009,MCM,0.009567827
1010,MCM,0.018945503
1011,MGH,0.024239049
1012,DIC,0.000121988
1013,HGM,0.021211007
1014,MGH,0.022811288
1015,MCM,0.003288188
1016,MCM,0.019304388
1017,MCM,0.0095721
1018,HGM,0.021161077
1019,MCM,0.003278371
1020,MGH,0.013839182
1021,MGH,0.023238312
1022,HGM,0.021437228
1023,MCM,0.013524544
1024,HGM,0.021423683
1025,HGM,0.021191425
1026,MCM,0.00329433
1027,MCM,0.023383855
1028,MCM,0.007970296
1029,MCM,0.016196028
1030,BJU,0.002684091
1031,HGM,0.014448075
1032,MCM,0.029172888
1033,HGM,0.021559363
1034,MCM,0.010273554
1035,MCM,0.029173602
1036,PED,0.016538724
1037,IZT,0.030346415
1038,BJU,0.00787637
1039,COR,0.089303593
1040,MCM,0.009566627
1041,HGM,0.024358324
1042,MCM,0.019305706
